 ,Area,Mean,Min,Max,Slice
577,298,4372.678,3392,5295,1
578,480,5549.442,3413,7368,1
579,478,5961.406,3389,8148,1
580,302,4213.450,3384,5372,1
581,285,4480.305,3425,6170,1
582,498,4631.187,3385,6388,1
583,277,4683.343,3399,6034,1
584,289,4215.118,3386,5701,1
585,266,6002.316,3410,8072,1
586,299,4486.328,3440,5368,1
587,440,7014.630,3382,10686,1
588,346,4610.965,3390,5946,1
589,382,4093.516,3385,5190,1
590,386,4651.746,3398,5931,1
591,305,3954.744,3383,5175,1
592,280,5327.114,3386,7061,1
593,271,4442.410,3412,5699,1
594,300,4096.110,3383,5109,1
595,445,5200.647,3382,6877,1
596,272,4162.169,3406,5377,1
597,181,3703.348,3383,4363,1
598,263,4954.373,3383,6721,1
599,264,4087.670,3389,5145,1
600,481,7497.879,3427,11349,1
601,417,5093.638,3393,6399,1
602,280,4782.768,3404,5945,1
603,252,5690.849,3393,7874,1
604,267,5350.663,3396,6972,1
605,252,5640.266,3400,7819,1
606,158,8703.285,3476,17326,1
607,320,4057.606,3384,5780,1
608,425,4186.602,3383,5490,1
609,309,4115.722,3395,5638,1
610,286,4582.556,3393,6067,1
611,336,4210.661,3394,5553,1
612,487,6190.318,3401,8723,1
613,232,3835.065,3384,4437,1
614,271,4526.074,3383,5906,1
615,301,3965.252,3384,5051,1
616,413,4823.673,3433,6851,1
617,319,5741.984,3405,7712,1
618,315,4197.622,3393,6016,1
619,196,7250.949,3403,11134,1
620,266,4584.060,3392,5541,1
621,319,3977.840,3387,4979,1
622,316,4430.756,3387,5885,1
623,354,4621.483,3395,6096,1
624,273,4585.337,3384,6090,1
625,388,5522.041,3398,7332,1
626,298,4919.946,3383,6450,1
627,419,6673.322,3418,9348,1
628,224,3774.018,3382,4428,1
629,367,8674.406,3385,16487,1
630,266,4245.534,3390,5587,1
631,290,4580.203,3395,6064,1
632,278,3942.730,3385,4751,1
633,325,5421.766,3389,7190,1
634,270,4164.630,3382,5138,1
635,283,4248.996,3389,5785,1
636,404,4503.993,3400,5865,1
637,289,4442.803,3382,6071,1
638,363,5077.441,3385,6620,1
639,319,3955.962,3390,4906,1
640,273,3778.784,3388,5089,1
641,442,6935.939,3386,9473,1
642,312,4091.619,3383,5138,1
643,272,4244.588,3382,5336,1
644,299,5117.201,3397,6897,1
645,236,3954.102,3383,5115,1
646,466,5241.361,3410,6813,1
647,496,5817.798,3407,8980,1
648,301,4890.216,3402,6226,1
649,272,4283.037,3388,5439,1
650,500,5771.066,3383,8184,1
651,277,3783.458,3391,5034,1
652,368,4757.416,3386,6526,1
653,364,4780.041,3389,6230,1
654,283,4507.926,3408,5952,1
655,297,4034.519,3386,5192,1
656,362,6754.387,3427,9491,1
657,261,4682.977,3432,6082,1
658,276,3890.949,3383,5226,1
659,280,4061.700,3385,5113,1
660,419,4114.442,3382,5168,1
661,269,4575.030,3399,5824,1
662,275,4202.305,3389,5482,1
663,433,6487.767,3403,9609,1
664,493,6102.008,3385,8521,1
665,276,5188.478,3440,7467,1
666,294,4961.156,3383,6477,1
667,282,4197.270,3395,5361,1
668,305,4731.098,3388,6222,1
669,392,3959.089,3382,5128,1
670,216,6641.870,3415,9802,1
671,317,4120.259,3384,5121,1
672,469,5129.719,3385,6659,1
673,426,7137.843,3389,10108,1
674,185,7582.659,3417,12443,1
675,356,4186.520,3387,5357,1
676,151,9155.881,3415,17202,1
677,248,3906.806,3390,4831,1
678,447,6473.980,3408,8969,1
679,285,4450.418,3395,5584,1
680,303,4429.026,3385,5453,1
681,304,4279.382,3387,5625,1
682,423,4737.071,3384,6165,1
683,347,6482.723,3459,8907,1
684,275,5291.225,3388,7456,1
685,318,4554.057,3382,6015,1
686,335,5579.251,3416,6994,1
687,375,4642.163,3382,6189,1
688,325,3932.397,3384,4926,1
689,303,4215.086,3389,5520,1
690,430,7317.474,3395,13172,1
691,372,5709.395,3395,8399,1
692,376,4249.934,3384,5830,1
693,430,5032.209,3414,6618,1
694,433,7235.245,3383,12928,1
695,320,4301.650,3392,5314,1
696,321,4107.050,3386,5656,1
697,370,4624.257,3382,6272,1
698,155,8949.477,3385,16613,1
699,415,5286.094,3384,7313,1
700,329,5873.188,3406,8388,1
701,309,4930.000,3387,6932,1
702,430,5684.428,3396,7389,1
703,303,4586.809,3391,5797,1
704,347,6274.300,3408,8923,1
705,281,4696.502,3405,6199,1
706,248,5448.488,3393,7300,1
707,429,6993.953,3395,10436,1
708,365,4931.677,3390,6278,1
709,317,4160.274,3382,5582,1
710,291,4254.076,3385,5355,1
711,289,3843.228,3384,4619,1
712,276,5157.562,3401,7228,1
713,316,5892.991,3389,8009,1
714,319,4269.925,3384,5416,1
715,318,4483.396,3385,5658,1
716,417,5969.571,3444,8602,1
717,300,4831.330,3390,6812,1
718,306,4220.042,3392,5364,1
719,324,4384.852,3382,5373,1
720,490,6267.080,3422,8555,1
721,318,4012.346,3383,5224,1
722,458,6345.581,3389,8813,1
723,319,4157.602,3389,5722,1
724,296,4459.669,3399,5685,1
725,242,5784.463,3393,8068,1
726,324,4408.880,3382,5411,1
727,295,4789.942,3401,6984,1
728,420,6840.829,3392,12306,1
729,464,6636.892,3429,9535,1
730,269,4605.606,3396,5988,1
731,319,5824.890,3382,8194,1
732,461,6089.512,3415,7936,1
733,407,4905.865,3413,6632,1
734,310,3905.026,3388,4693,1
735,320,4427.172,3390,5637,1
736,325,4336.009,3387,5634,1
737,460,4818.165,3384,6570,1
738,254,5683.224,3393,7791,1
739,309,4525.379,3384,5987,1
740,305,4280.184,3396,5565,1
741,308,4495.318,3400,5824,1
742,318,4215.613,3394,5283,1
743,307,4789.909,3388,6040,1
744,321,5781.757,3417,8066,1
745,328,4270.573,3386,5652,1
746,310,5123.423,3392,7267,1
747,283,4861.989,3408,6228,1
748,354,4692.554,3383,6464,1
749,303,4521.261,3385,5736,1
750,408,6414.765,3392,9140,1
751,286,5018.500,3388,6229,1
752,454,5949.681,3385,7883,1
753,294,4805.548,3388,6369,1
754,186,7789.188,3384,13545,1
755,288,4478.500,3390,5689,1
756,274,5018.142,3401,6535,1
757,362,4640.616,3391,6103,1
758,301,4587.983,3387,5659,1
759,327,4867.872,3398,6241,1
760,323,4222.099,3384,5108,1
761,352,4702.051,3400,6068,1
762,331,4357.870,3400,5640,1
763,285,5721.993,3383,8482,1
764,280,5214.993,3403,6953,1
765,442,4566.747,3383,5736,1
766,459,5795.434,3395,8408,1
767,307,4372.573,3383,5395,1
768,322,5606.012,3383,8316,1
769,282,4798.131,3386,5956,1
770,329,4329.605,3407,5656,1
771,199,7311.990,3419,10845,1
772,274,5316.555,3412,6859,1
773,276,5914.094,3396,8717,1
774,293,4737.468,3387,6743,1
775,435,7386.326,3476,13667,1
